edge
"(1, 2)"
"(2, 3)"
"(2, 6)"
"(3, 4)"
"(4, 5)"
"(5, 36)"
"(6, 7)"
"(7, 8)"
"(8, 10)"
"(9, 16)"
"(11, 41)"
"(11, 43)"
"(12, 13)"
"(12, 15)"
"(13, 14)"
"(14, 18)"
"(15, 48)"
"(16, 17)"
"(17, 21)"
"(18, 19)"
"(19, 20)"
"(20, 56)"
"(21, 23)"
"(22, 24)"
"(22, 30)"
"(23, 25)"
"(24, 26)"
"(26, 28)"
"(27, 29)"
"(27, 33)"
"(28, 29)"
"(30, 31)"
"(31, 32)"
"(32, 34)"
"(33, 35)"
"(34, 35)"
"(36, 37)"
"(37, 38)"
"(38, 42)"
"(39, 40)"
"(39, 42)"
"(40, 63)"
"(41, 43)"
"(44, 45)"
"(44, 51)"
"(45, 46)"
"(46, 47)"
"(47, 49)"
"(48, 50)"
"(49, 50)"
"(51, 52)"
"(52, 53)"
"(53, 54)"
"(54, 55)"
"(55, 57)"
"(56, 58)"
"(57, 59)"
"(58, 60)"
"(59, 60)"
"(61, 62)"
"(62, 64)"
"(63, 65)"
"(64, 65)"
"(66, 67)"
"(66, 68)"
"(68, 69)"
"(69, 70)"
"(70, 72)"
"(71, 72)"
"(71, 73)"
